,"INFOS PARA A BLINKX BRASIL",,,,,,,,,,,,,,,,,,,,,,,"DADOS INTERNOS ELO PARA CONSULTA",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SOBRE O TÍTULO",,,,,,,,,,,,,,,,,"LINKS",,,,,,"DADOS DE CONTRATO",,,,,,,,"CURADORIA ELO",,,,,"MATERIAL EXTRA",,,,,,,"ARMAZENAMENTO",,,,,"CONTATO PRODUTORA",,,,
"TITULO","PRODUTORA","DESTAQUES","SINOPSE","DURAÇÃO","DIRETOR","ANO DE LANÇAMENTO","INFORMAÇÕES ESPECÍFICAS PARA ALGUNS CANAIS",,,,,,,,,,"BLINKX","SITE ELO",,,,,"DATAS",,,,"MODELO DE CONTRATO","REVENUE SHARE ELO","OBSERVAÇÕES CONTRATUAIS",,"QUALIDADE TÉCNICA","MÍDIAS SUGERIDAS","OBSERVAÇÕES","CONTEÚDO IMPRÓPRIO?",,"MATERIAL RECEBIDO",,,,,,,"INTERNO - ELO",,"EXTERNO - BLINKX",,,"PRODUTORA",,,"ELO",
,,,,,,,"ATORES","ATLETAS","ESTILISTA","GRAVADORA","PRODUÇÃO DO ALBUM","SITE OFICIAL","GENERO","FORMATO","PRÊMIOS",,"BID ID","DOWNLOADS","BLOG","COMUNIDADE","LIVE CHAT",,"RECEBIMENTO DO VÍDEO","ASSINATURA DO CONTRATO","VENCIMENTO DO CONTRATO","DATA DE INCLUSÃO NA BLINKX",,,,,,,,,,"MATERIAL TOTAL DETALHADO","FOTOS EM ALTA QUALIDADE?","TRAILER?","TEXTOS?","SONS?","PROMOS?",,"HD-ID","DIRETORIO","DVD ID","FTP",,"CONTATO","TELEFONE","EMAIL","REPRESENTANTE","CADASTRADO POR"
,,,,,,,,,,,,,,,,,,,,,,,"sera que é util?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"modelo","produtora (http://www.produtora.com.br)","Destaque 1; Destaque 2; Destaque 3;",,"00'00''","diretor (http://www.diretor.com.br)",2000,"Lima Duarte (http://www.limaduarte.com.br); Tarcisio Meira (http://www.tarcisio.com.br); atorX (http://www.atorx.com.br)","Pelé (http://www.pele.com.br); Ayrton Senna (http://www.senna.com.br); atletaX (http://www.atletaX.com.br)","Estilista (http://www.estilista.com.br); ","gravadora (http://www.gravadora.com.br)","Produtor (http://www.produtor.com.br)","Filme novo (http://www.filmenovo.com.br)","Ação / Aventura  
Animação
Comédia
Comédia / Drama
Comédia / Horror  
Desfile
Documentário 
Drama
Entrevistas
Experimental 
Ficção  
Horror
Infantil
Família  
Musical
Político / Drama  
Romance
Romance / Drama
Suspense","Curta
Média
Longa
Série
Show
Videoclipe","Prêmio X: melhor filme em Cannes 2009; Prêmio Y: melhor diretor no Oscar 2009;",,,,,,,,"00/00/0000","00/00/0000","00/00/0000","00/00/0000","internet
internet+tradicional
internet+celular
todos
checar contrato","0%
10%
20%
30%
50%
70%
100%
checar contrato","ex. 
todas as mídias
restricoes de territorio
disponivel apenas para Brasil
disponivel apenas por streaming
checar contrato",,"Filmado em HD
ótimo
bom com ressalvas
audio ruim
imagem ruim
edição ruim","internet
midia externa
celular/dispositivos moveis
educacional","editado pela Elo
com legenda
tem logo de patrocinadores
outros","SIM
NÃO",,"ex. 20 fotos em alta qualidade, 1 trailer, 3 entrevistas em texto, 2 soundtracks","SIM
NÃO","SIM
NÃO","SIM
NÃO","SIM
NÃO","SIM
NÃO",,"HD1","/elo/canal/produtora/video"," ","login_ftp/ano/mes/produtora/titulo/arquivos"," ",,"(11) 9999-0999",,,
"A Morte de Férias","Animateria (http://www.animateria.com.br)",,"Após uma eternidade trabalhando, a Morte finalmente resolve tirar férias!",0:04:55,"Claudio Guido Silva Cardoso",2009,,,,,,,"Animação","Curta",,,,"http://www.elocompany.com/elochannels/downloads.php?ID=23","http://www.elocompany.com/elochannels/blog.php?ID=23","http://www.elocompany.com/elochannels/comunidade.php?ID=23","http://www.elocompany.com/elochannels/chat1.php?ID=23",,"1/abril/09","1/junho/09","1/junho/12",,"digital+tradicional","padrao conjunto",,,,,,,,,,,,,,,,"VIDEOS MASTER/elo/2009/outubro/anima/ANIMATERIA/A MORTE DE FERIAS",,"eloanima/2009/october/ANIMATERIA/A MORTE DE FERIAS",,"Claudio Guido","(71) 9117-6731","guido@animateria.net","Leandro","Leandro"
"Adivinha dos Peixes","A gente que fez (http://www.agentequefez.com.br)","Video clipe produzido para o Músico Paulo Bi, que faz parte do Show e do CD de Paes para Filhos","É um videoclipe, que conta um jogo de adivinhações tendo como personagens os peixes e crustáceos do fundo do mar. Além de um pescador muito alegre. Com a poesia de josé paulo paes, musicada por paulo bi, os personagens de massinha criados por cacinho dão vida e convidam as crianças a adentrarem no extenso e profundo mundo da poesia e da animação.",0:02:37,"Cacinho",2005,,,,,,,"Animação","Curta","Melhor filme - Festival Universo Olhar Digital  2006 (Juiz de Fora/MG);  3º colocado Animaserra 2007 (Teresópolis/RJ)",,,"http://www.elocompany.com/elochannels/downloads.php?ID=23","http://www.elocompany.com/elochannels/blog.php?ID=23","http://www.elocompany.com/elochannels/comunidade.php?ID=23","http://www.elocompany.com/elochannels/chat1.php?ID=23",,"1/maio/09","1/maio/09","1/maio/14",,"digital",50%,,,,,,,,,,,,,,,,"VIDEOS MASTER/elo/2009/outubro/anima/A GENTE QUE FEZ/ADIVINHA DOS PEIXES",,"eloanima/2009/october/A GENTE QUE FEZ/ADIVINHA DOS PEIXES",,"Cacinho","(32) 3211-1519","cacinho@agentequefez.com.br","Leandro","Leandro"
"Reciclando Idéias","A gente que fez (http://www.agentequefez.com.br)","Filme convidado para a mostra internacional Muri Cine - 2007 - Nova Friburgo/RJ - Os personagens foram construídos a partir de sucatas de pequeno porte.","Num futuro não muito distante, a terra está devastada.  Será que ainda nos resta uma esperança? Um pequeno robozinho nos faz pensar sobre o que vamos deixar de nosso planeta para as gerações futuras",0:02:58,"Cacinho",2007,,,,,,,"Animação","Curta","Melhor animação no VI festival de cinema e vídeo de Guaíba/RS 2007; 5º colocado Animaserra 2007",,,"http://www.elocompany.com/elochannels/downloads.php?ID=23","http://www.elocompany.com/elochannels/blog.php?ID=23","http://www.elocompany.com/elochannels/comunidade.php?ID=23","http://www.elocompany.com/elochannels/chat1.php?ID=23",,"1/maio/09","1/maio/09","1/maio/14",,"digital",50%,,,,,,,,,,,,,,,,"VIDEOS MASTER/elo/2009/outubro/anima/A GENTE QUE FEZ/RECICLANDO IDEIAS",,"eloanima/2009/october/A GENTE QUE FEZ/RECICLANDO IDEIAS",,"Cacinho","(32) 3211-1519","cacinho@agentequefez.com.br","Leandro","Leandro"
"Sopra Ventos","A gente que fez (http://www.agentequefez.com.br)",,"Video clipe para a música de edu toribe e cacinho, onde conta a dura história de um pescador e sua vila que é banhada pelo mar e afagada pelo vento. Seria sonho ou realidade seu desejo de voltar a ser criança?",0:03:23,"Cacinho",2007,,,,,,,"Animação","Curta",,,,"http://www.elocompany.com/elochannels/downloads.php?ID=23","http://www.elocompany.com/elochannels/blog.php?ID=23","http://www.elocompany.com/elochannels/comunidade.php?ID=23","http://www.elocompany.com/elochannels/chat1.php?ID=23",,"1/maio/09","1/maio/09","1/maio/14",,"digital",50%,,,,,,,,,,,,,,,,"VIDEOS MASTER/elo/2009/outubro/anima/A GENTE QUE FEZ/SOPRA VENTOS",,"eloanima/2009/october/A GENTE QUE FEZ/SOPRA VENTOS",,"Cacinho","(32) 3211-1519","cacinho@agentequefez.com.br","Leandro","Leandro"
