,"INFOS PARA A BLINKX BRASIL",,,,,,,,,,,,,,,,,,,,,,,"DADOS INTERNOS ELO PARA CONSULTA",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SOBRE O TÍTULO",,,,,,,,,,,,,,,,,"LINKS",,,,,,"DADOS DE CONTRATO",,,,,,,,"CURADORIA ELO",,,,,"MATERIAL EXTRA",,,,,,,"ARMAZENAMENTO",,,,,"CONTATO PRODUTORA",,,,
"TITULO","PRODUTORA","DESTAQUES","SINOPSE","DURAÇÃO","DIRETOR","ANO DE LANÇAMENTO","INFORMAÇÕES ESPECÍFICAS PARA ALGUNS CANAIS",,,,,,,,,,"BLINKX","SITE ELO",,,,,"DATAS",,,,"MODELO DE CONTRATO","REVENUE SHARE ELO","OBSERVAÇÕES CONTRATUAIS",,"QUALIDADE TÉCNICA","MÍDIAS SUGERIDAS","OBSERVAÇÕES","CONTEÚDO IMPRÓPRIO?",,"MATERIAL RECEBIDO",,,,,,,"INTERNO - ELO",,"EXTERNO - BLINKX",,,"PRODUTORA",,,"ELO",
,,,,,,,"ATORES","ATLETAS","ESTILISTA","GRAVADORA","PRODUÇÃO DO ALBUM","SITE OFICIAL","GENERO","FORMATO","PRÊMIOS",,"BID ID","DOWNLOADS","BLOG","COMUNIDADE","LIVE CHAT",,"RECEBIMENTO DO VÍDEO","ASSINATURA DO CONTRATO","VENCIMENTO DO CONTRATO","DATA DE INCLUSÃO NA BLINKX",,,,,,,,,,"MATERIAL TOTAL DETALHADO","FOTOS EM ALTA QUALIDADE?","TRAILER?","TEXTOS?","SONS?","PROMOS?",,"HD-ID","DIRETORIO","DVD ID","FTP",,"CONTATO","TELEFONE","EMAIL","REPRESENTANTE","CADASTRADO POR"
,,,,,,,,,,,,,,,,,,,,,,,"sera que é util?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"modelo","produtora (http://www.produtora.com.br)","Destaque 1; Destaque 2; Destaque 3;",,"00'00''","diretor (http://www.diretor.com.br)",2000,"Lima Duarte (http://www.limaduarte.com.br); Tarcisio Meira (http://www.tarcisio.com.br); atorX (http://www.atorx.com.br)","Pelé (http://www.pele.com.br); Ayrton Senna (http://www.senna.com.br); atletaX (http://www.atletaX.com.br)","Estilista (http://www.estilista.com.br); ","gravadora (http://www.gravadora.com.br)","Produtor (http://www.produtor.com.br)","Filme novo (http://www.filmenovo.com.br)","Ação / Aventura  
Animação
Comédia
Comédia / Drama
Comédia / Horror  
Desfile
Documentário 
Drama
Entrevistas
Experimental 
Ficção  
Horror
Infantil
Família  
Musical
Político / Drama  
Romance
Romance / Drama
Suspense","Curta
Média
Longa
Série
Show
Videoclipe","Prêmio X: melhor filme em Cannes 2009; Prêmio Y: melhor diretor no Oscar 2009;",,,,,,,,"00/00/0000","00/00/0000","00/00/0000","00/00/0000","internet
internet+tradicional
internet+celular
todos
checar contrato","0%
10%
20%
30%
50%
70%
100%
checar contrato","ex. 
todas as mídias
restricoes de territorio
disponivel apenas para Brasil
disponivel apenas por streaming
checar contrato",,"Filmado em HD
ótimo
bom com ressalvas
audio ruim
imagem ruim
edição ruim","internet
midia externa
celular/dispositivos moveis
educacional","editado pela Elo
com legenda
tem logo de patrocinadores
outros","SIM
NÃO",,"ex. 20 fotos em alta qualidade, 1 trailer, 3 entrevistas em texto, 2 soundtracks","SIM
NÃO","SIM
NÃO","SIM
NÃO","SIM
NÃO","SIM
NÃO",,"HD1","/elo/canal/produtora/video"," ","login_ftp/ano/mes/produtora/titulo/arquivos"," ",,"(11) 9999-0999",,,
"Elba Ramalho - Gaiola da Saudade","Atração (http://www.atracao.com.br/)",,"Música gravada no show no Auditório Ibirapuera,
onde Elba Ramalho apresentou canções inéditas e releituras de músicas que
marcam os 28 anos de sua carreira ","5'50""","Elba Ramalho e Lula Queiroga",2007,,,,"Atração (http://www.atracao.com.br/)",,"http://www.elbaramalho.com.br/","Musical","Curta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Elba Ramalho - Ave Anjo Angelis","Atração (http://www.atracao.com.br/)",,"Música gravada no show no Auditório Ibirapuera,
onde Elba Ramalho apresentou canções inéditas e releituras de músicas que
marcam os 28 anos de sua carreira","4'52""","Elba Ramalho e Lula Queiroga",2007,,,,"Atração (http://www.atracao.com.br/)",,"http://www.elbaramalho.com.br/","Musical","Curta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Elba Ramalho - A Natureza das Coisas","Atração (http://www.atracao.com.br/)",,"Música gravada no show no Auditório Ibirapuera,
onde Elba Ramalho apresentou canções inéditas e releituras de músicas que
marcam os 28 anos de sua carreira","6'18""","Elba Ramalho e Lula Queiroga",2007,,,,"Atração (http://www.atracao.com.br/)",,"http://www.elbaramalho.com.br/","Musical","Curta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Elba Ramalho - Essa Alegria / Leão do Norte","Atração (http://www.atracao.com.br/)",,"Música gravada no show no Auditório Ibirapuera,
onde Elba Ramalho apresentou canções inéditas e releituras de músicas que
marcam os 28 anos de sua carreira","5'33""","Elba Ramalho e Lula Queiroga",2007,,,,"Atração (http://www.atracao.com.br/)",,"http://www.elbaramalho.com.br/","Musical","Curta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
