,"INFOS PARA A BLINKX BRASIL",,,,,,,,,,,,,,,,,,,,,,,"DADOS INTERNOS ELO PARA CONSULTA",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SOBRE O TÍTULO",,,,,,,,,,,,,,,,,"LINKS",,,,,,"DADOS DE CONTRATO",,,,,,,,"CURADORIA ELO",,,,,"MATERIAL EXTRA",,,,,,,"ARMAZENAMENTO",,,,,"CONTATO PRODUTORA",,,,
"TITULO","PRODUTORA","DESTAQUES","SINOPSE","DURAÇÃO","DIRETOR","ANO DE LANÇAMENTO","INFORMAÇÕES ESPECÍFICAS PARA ALGUNS CANAIS",,,,,,,,,,"BLINKX","SITE ELO",,,,,"DATAS",,,,"MODELO DE CONTRATO","REVENUE SHARE ELO","OBSERVAÇÕES CONTRATUAIS",,"QUALIDADE TÉCNICA","MÍDIAS SUGERIDAS","OBSERVAÇÕES","CONTEÚDO IMPRÓPRIO?",,"MATERIAL RECEBIDO",,,,,,,"INTERNO - ELO",,"EXTERNO - BLINKX",,,"PRODUTORA",,,"ELO",
,,,,,,,"ATORES","ATLETAS","ESTILISTA","GRAVADORA","PRODUÇÃO DO ALBUM","SITE OFICIAL","GENERO","FORMATO","PRÊMIOS",,"BID ID","DOWNLOADS","BLOG","COMUNIDADE","LIVE CHAT",,"RECEBIMENTO DO VÍDEO","ASSINATURA DO CONTRATO","VENCIMENTO DO CONTRATO","DATA DE INCLUSÃO NA BLINKX",,,,,,,,,,"MATERIAL TOTAL DETALHADO","FOTOS EM ALTA QUALIDADE?","TRAILER?","TEXTOS?","SONS?","PROMOS?",,"HD-ID","DIRETORIO","DVD ID","FTP",,"CONTATO","TELEFONE","EMAIL","REPRESENTANTE","CADASTRADO POR"
,,,,,,,,,,,,,,,,,,,,,,,"sera que é util?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Andre / Leandro"
"modelo","produtora (http://www.produtora.com.br)","Destaque 1; Destaque 2; Destaque 3;",,"00'00''","diretor (http://www.diretor.com.br)",2000,"Lima Duarte (http://www.limaduarte.com.br); Tarcisio Meira (http://www.tarcisio.com.br); atorX (http://www.atorx.com.br)","Pelé (http://www.pele.com.br); Ayrton Senna (http://www.senna.com.br); atletaX (http://www.atletaX.com.br)","Estilista (http://www.estilista.com.br); ","gravadora (http://www.gravadora.com.br)","Produtor (http://www.produtor.com.br)","Filme novo (http://www.filmenovo.com.br)","Ação / Aventura  
Animação
Comédia
Comédia / Drama
Comédia / Horror  
Desfile
Documentário 
Drama
Entrevistas
Experimental 
Ficção  
Horror
Infantil
Família  
Musical
Político / Drama  
Romance
Romance / Drama
Suspense","Curta
Média
Longa
Série
Show
Videoclipe","Prêmio X: melhor filme em Cannes 2009; Prêmio Y: melhor diretor no Oscar 2009;",,,,,,,,"00/00/0000","00/00/0000","00/00/0000","00/00/0000","internet
internet+tradicional
internet+celular
todos
checar contrato","0%
10%
20%
30%
50%
70%
100%
checar contrato","ex. 
todas as mídias
restricoes de territorio
disponivel apenas para Brasil
disponivel apenas por streaming
checar contrato",,"Filmado em HD
ótimo
bom com ressalvas
audio ruim
imagem ruim
edição ruim","internet
midia externa
celular/dispositivos moveis
educacional","editado pela Elo
com legenda
tem logo de patrocinadores
outros","SIM
NÃO",,"ex. 20 fotos em alta qualidade, 1 trailer, 3 entrevistas em texto, 2 soundtracks","SIM
NÃO","SIM
NÃO","SIM
NÃO","SIM
NÃO","SIM
NÃO",,"HD1","/elo/canal/produtora/video"," ","login_ftp/ano/mes/produtora/titulo/arquivos"," ",,"(11) 9999-0999",,"ELOAV","Andre / Leandro"
"Alguma coisa assim","Ioiô Filmes (http://ioiofilmes.com.br)","Melhor roteiro no Festival de Cannes. Melhor filme no Festival Biarritz.","Dois adolescentes, Caio e Mari, saem para uma grande noite de diversão nas ruas de São Paulo. Eles dançam, riem, jogam e aprendem mais sobre si mesmos.",00:15:21,"Esmir Filho",2006,"Caroline Abras; André Antunes; Daniel Tavares;",,,,,,"Romance/Drama","curta","Prix Grand Cru: melhor argumento no Festival de Cannes 2006 - International Critic's Week; 34° Festival de Cinema de Gramado: melhor filme, melhor diretor e melhor atriz (Caroline Abras); 15° Festival de Biarritz: melhor filme 2006; 4° Curta Santos: melhor diretor no Short Film Festival em 2006;",,,"http://www.elocompany.com/elochannels/downloads.php?ID=1","http://www.elocompany.com/elochannels/blog.php?ID=1","http://www.elocompany.com/elochannels/comunidade.php?ID=1","http://www.elocompany.com/elochannels/chat1.php?ID=1",,,,"indeterminado",,"digital+tradicional","50,00%",,,,,,,,,,,,,,,,,,,,"Patti",,"patti@ioiofilmes.com","ELOAV","Andre / Leandro"
"Artesãos da morte","Seqüência 1 (http://sequencia1.com.br)","O dia-a-dia de trabalhadores que lidam com a morte.","A partir do imaginário popular sobre o morto, trabalhadores que lidam diariamente com cadáveres falam da vida e da morte.",00:17:43,"Miriam Chnaiderman",1991," ",,,,,,"Documentário","curta",,,,"http://www.elocompany.com/elochannels/downloads.php?ID=1","http://www.elocompany.com/elochannels/blog.php?ID=1","http://www.elocompany.com/elochannels/comunidade.php?ID=1","http://www.elocompany.com/elochannels/chat1.php?ID=1",,,,"25/junho/13",,"digital+tradicional",,,,,,,,,,,,,,,,,,,,,"Eliana Costa ","(11)3662-5350
8185.2050","elianacosta@sequencia1.com.br","ELOAV","Andre / Leandro"
"As Amorosas","Vera Cruz (http://www.veracruzcinema.com.br)","A produtora de cinema Vera Cruz, fundada em dezembro de 1949, produziu e co-produziu mais de 40 longas e diversos documentários. Muitos deles alcançaram prestígio nacional e internacional, fazendo parte da história do cinema brasileiro.","Jovem cercado por amigos, paparicado pela sua irmã e cercado por mulheres, não pode sair do seu buraco existencial e move-se inexoravelmente para a auto-destruição.",01:44:34,"Walther Hugo Khouri",1967,"Paulo José; Jacqueline Myrna; Lilian Lemmertz; Stênio Garcia;","Pelé (http://www.pele.com.br); Ayrton Senna (http://www.senna.com.br); atletaX (http://www.atletaX.com.br)","Coisinha de Jesus",,"Altamiro Carrilho(carrilho.com)","O site (www.filmao.com)","Drama","longa","Governador do Estado de São Paulo Award;",,,"http://www.elocompany.com/elochannels/downloads.php?ID=1","http://www.elocompany.com/elochannels/blog.php?ID=1","http://www.elocompany.com/elochannels/comunidade.php?ID=1","http://www.elocompany.com/elochannels/chat1.php?ID=1",,,"29/junho/09","29/junho/10",,"digital+tradicional",,"restrito",,"bom",,"com legenda",,,,,,,,,,,,,,,"Wilfred","(11) 3237-0062 / 9999-1151","veracruz@veracruzcinema.com.br","ELOAV","Andre / Leandro"
"BMW Vermelho","Seqüência 1 (http://sequencia1.com.br)","Premiado nos festivais de Gramado e Damasco (Syria).","Um homem desempregado que mora em uma favela na periferia de São Paulo ganha uma BMW vermelha em um concurso e vê sua vida tornar-se um pesadelo.",00:20:32,"Reinaldo Pinheiro e Edú Ramos",2000,"Otávio Augusto; Denise Weinberg;","Sue coisa; AtletaY, atletaX",,"Poligram(poligram.com.br)",,,"Drama","curta","Gramado Festival: melhor direção de arte; São Paulo International Short-Film Festival: melhor filme; Havana Festival: melhor curta; Brazilian Film Festival of Miami: melhor curta na escolha da audiência e melhor ator; Damascus International Film Festival: prêmio de ouro;",,,"http://www.elocompany.com/elochannels/downloads.php?ID=1","http://www.elocompany.com/elochannels/blog.php?ID=1","http://www.elocompany.com/elochannels/comunidade.php?ID=1","http://www.elocompany.com/elochannels/chat1.php?ID=1",,"29/junho/09",,"10/setembro/16",,"digital+tradicional",,,,,"midia",,"não",,"um DVD","SIM ","não",,,,,"HD57","/videos",123456567,"/dev/filmes",,"Eliana Costa ","(11)3662-5350
8185.2050","elianacosta@sequencia1.com.br","ELOAV","Andre / Leandro"
